COMUNE,numero_colonnine
Agra,2
Angera,5
Arcisate,4
Arsago Seprio,5
Azzio,2
Barasso,4
Bardello con Malgesso e Bregano,12
Bedero Valcuvia,2
Besano,2
Besozzo,4
Biandronno,4
Bisuschio,2
Bodio Lomnago,5
Brenta,9
Buguggiate,2
Busto Arsizio,62
Cadegliano-Viconago,1
Cadrezzate con Osmate,4
Cantello,15
Cardano al Campo,6
Caronno Pertusella,11
Caronno Varesino,6
Casale Litta,2
Casciago,4
Casorate Sempione,5
Cassano Magnago,7
Castellanza,29
Castelseprio,5
Castelveccana,1
Castiglione Olona,10
Castronno,16
Cavaria con Premezzo,10
Cazzago Brabbia,2
Cittiglio,8
Clivio,4
Cocquio-Trevisago,12
Comabbio,2
Cugliate-Fabiasco,4
Cunardo,2
Daverio,2
Dumenza,3
Fagnano Olona,2
Ferno,13
Gallarate,42
Gavirate,14
Gazzada Schianno,5
Gemonio,4
Gerenzano,6
Golasecca,3
Gorla Minore,6
Gornate Olona,4
Induno Olona,12
Ispra,4
Jerago con Orago,6
Lavena Ponte Tresa,2
Laveno-Mombello,3
Leggiuno,4
Lonate Ceppino,8
Lonate Pozzolo,20
Luino,12
Luvinate,4
Maccagno con Pino e Veddasca,12
Malnate,13
Marchirolo,2
Marnate,8
Mesenzana,5
Mornago,8
Oggiona con Santo Stefano,9
Olgiate Olona,11
Origgio,6
Porto Ceresio,6
Ranco,3
Saltrio,2
Sangiano,2
Saronno,46
Sesto Calende,3
Solbiate Arno,6
Solbiate Olona,14
Somma Lombardo,22
Taino,2
Ternate,6
Tradate,43
Travedona-Monate,4
Uboldo,8
Valganna,2
Varano Borghi,2
Varese,79
Vedano Olona,5
Venegono Inferiore,12
Venegono Superiore,6
Vergiate,11
Viggiù,16
Vizzola Ticino,22
