latitude,longitude,serial number,COMUNE
46.03304,8.773506,IT*BEC*EE003748*1,Agra
46.03304,8.773506,IT*BEC*EE003748*2,Agra
45.782534,8.591429,IT*ENX*E21XM32T7KK3AR00069*3,Angera
45.782534,8.591429,IT*ENX*E21XM32T7KK3AR00069*1,Angera
45.782534,8.591429,IT*ENX*E21XM32T7KK3AR00069*2,Angera
45.768902,8.594899,IT*PWY*EC0030*01*01,Angera
45.768902,8.594899,IT*PWY*EC0030*01*02,Angera
45.857679,8.860254,IT*PWY*EC0041*02*02,Arcisate
45.857679,8.860254,IT*PWY*EC0041*01*01,Arcisate
45.857679,8.860254,IT*PWY*EC0041*01*02,Arcisate
45.857679,8.860254,IT*PWY*EC0041*02*01,Arcisate
45.687303,8.7341,IT*ENX*E19XP22T3KK1AT00059*1,Arsago Seprio
45.687303,8.7341,IT*ENX*E19XP22T3KK1AT00059*2,Arsago Seprio
45.692045,8.740232,IT*ENX*E19XM32T7GB3W000073*3,Arsago Seprio
45.692045,8.740232,IT*ENX*E19XM32T7GB3W000073*1,Arsago Seprio
45.692045,8.740232,IT*ENX*E19XM32T7GB3W000073*2,Arsago Seprio
45.883931,8.71034,IT*BEC*EE003445*2,Azzio
45.883931,8.71034,IT*BEC*EE003445*1,Azzio
45.840064,8.760336,IT*A2C*EEC05A0092200007*3,Barasso
45.840064,8.760336,IT*A2C*EEC05A0092200007*1,Barasso
45.840064,8.760336,IT*A2C*EEC05A0092200007*2,Barasso
45.840064,8.760336,IT*A2C*EEC05A0092200007*4,Barasso
45.836313,8.699916,IT*ENX*E20XP22T3KK1AL00173*2,Bardello con Malgesso e Bregano
45.829108,8.6716,IT*ENX*E21XP22T3KK4AK372RJ*2,Bardello con Malgesso e Bregano
45.82913,8.67171,IT*ENX*ESN2403141139*1,Bardello con Malgesso e Bregano
45.827778,8.669166,IT*ENX*E19XP22T3KK1AL00108*2,Bardello con Malgesso e Bregano
45.827778,8.669166,IT*ENX*E19XP22T3KK1AL00107*2,Bardello con Malgesso e Bregano
45.827778,8.669166,IT*ENX*E19XP22T3KK1AL00108*1,Bardello con Malgesso e Bregano
45.82913,8.67171,IT*ENX*ESN2403141139*2,Bardello con Malgesso e Bregano
45.823565,8.687332,IT*ENX*E19XP22T3KK4AD00104*1,Bardello con Malgesso e Bregano
45.829108,8.6716,IT*ENX*E21XP22T3KK4AK372RJ*1,Bardello con Malgesso e Bregano
45.823565,8.687332,IT*ENX*E19XP22T3KK4AD00104*2,Bardello con Malgesso e Bregano
45.827778,8.669166,IT*ENX*E19XP22T3KK1AL00107*1,Bardello con Malgesso e Bregano
45.836313,8.699916,IT*ENX*E20XP22T3KK1AL00173*1,Bardello con Malgesso e Bregano
45.910257,8.792179,IT*ENX*E21XP22T3KK4AK00309*1,Bedero Valcuvia
45.910257,8.792179,IT*ENX*E21XP22T3KK4AK00309*2,Bedero Valcuvia
45.89606,8.89555,IT*PWY*EC0021*01*01,Besano
45.89606,8.89555,IT*PWY*EC0021*01*02,Besano
45.844434,8.66764,IT*ENX*E18XP22T5AB5U000398*2,Besozzo
45.844434,8.66764,IT*ENX*E18XP22T5AB5U000398*1,Besozzo
45.84076,8.66953,IT*PWY*EC0026*01*01,Besozzo
45.84076,8.66953,IT*PWY*EC0026*01*02,Besozzo
45.821789,8.712112,IT*BEC*EE003696*2,Biandronno
45.821784,8.712175,IT*BEC*EE003733*2,Biandronno
45.821784,8.712175,IT*BEC*EE003733*1,Biandronno
45.821789,8.712112,IT*BEC*EE003696*1,Biandronno
45.868872,8.866577,IT*ENX*ESN2403141089*2,Bisuschio
45.868872,8.866577,IT*ENX*ESN2403141089*1,Bisuschio
45.781889,8.752306,IT*ENX*E18XP22T5HK4AH00204*2,Bodio Lomnago
45.793889,8.754806,IT*ENX*E19XM32T7CB3W000189*1,Bodio Lomnago
45.793889,8.754806,IT*ENX*E19XM32T7CB3W000189*2,Bodio Lomnago
45.793889,8.754806,IT*ENX*E19XM32T7CB3W000189*3,Bodio Lomnago
45.781889,8.752306,IT*ENX*E18XP22T5HK4AH00204*1,Bodio Lomnago
45.892517,8.689398,IT*A2C*E12248019070017*1,Brenta
45.892517,8.689398,IT*A2C*E12223021700003*2,Brenta
45.894764,8.68529,IT*A2C*E12248019070019*1,Brenta
45.894764,8.68529,IT*A2C*E12248019070019*2,Brenta
45.892517,8.689398,IT*A2C*E12223021700003*1,Brenta
45.892517,8.689398,IT*A2C*E12248019070017*2,Brenta
45.892517,8.689398,IT*A2C*E12223021700003*3,Brenta
45.892517,8.689398,IT*A2C*E12248019070016*2,Brenta
45.892517,8.689398,IT*A2C*E12248019070016*1,Brenta
45.791323,8.796373,IT*PWY*EC0004*01*01,Buguggiate
45.79201,8.795806,IT*PWY*EC0004*01*02,Buguggiate
