COMUNE,numero_colonnine
Agra,2
Angera,5
Appiano Gentile,12
Arcisate,4
Arona,15
Arsago Seprio,5
Azzio,2
Barasso,4
Bardello con Malgesso e Bregano,12
Bedero Valcuvia,2
Bellinzago Novarese,12
Besano,2
Besozzo,4
Biandronno,4
Binago,10
Bisuschio,2
Bodio Lomnago,5
Brenta,9
Buguggiate,2
Busto Arsizio,62
Cadegliano-Viconago,1
Cadrezzate con Osmate,4
Cannero Riviera,7
Cannobio,12
Cantello,15
Carbonate,6
Cardano al Campo,6
Caronno Pertusella,11
Caronno Varesino,6
Casale Litta,2
Casciago,4
Casorate Sempione,5
Cassano Magnago,7
Castano Primo,11
Castellanza,29
Castelletto sopra Ticino,31
Castelnuovo Bozzente,2
Castelseprio,5
Castelveccana,1
Castiglione Olona,10
Castronno,16
Cavaria con Premezzo,10
Cazzago Brabbia,2
Ceriano Laghetto,6
Cerro Maggiore,2
Cesate,15
Cittiglio,8
Clivio,4
Cocquio-Trevisago,12
Cogliate,9
Comabbio,2
Cugliate-Fabiasco,4
Cunardo,2
Dairago,3
Daverio,2
Dormelletto,8
Dumenza,3
Fagnano Olona,2
Ferno,13
Gallarate,42
Garbagnate Milanese,6
Gavirate,14
Gazzada Schianno,5
Gemonio,4
Gerenzano,6
Ghiffa,4
Golasecca,3
Gorla Minore,6
Gornate Olona,4
Induno Olona,12
Ispra,4
Jerago con Orago,6
Lainate,48
Lavena Ponte Tresa,2
Laveno-Mombello,3
Leggiuno,4
Legnano,29
Limido Comasco,4
Locate Varesino,4
Lonate Ceppino,8
Lonate Pozzolo,20
Luino,12
Luvinate,4
Maccagno con Pino e Veddasca,12
Magnago,12
Malnate,13
Marano Ticino,2
Marchirolo,2
Marnate,8
Meina,5
Mesenzana,5
Mornago,8
Nerviano,25
Nosate,6
Oggebbio,3
Oggiona con Santo Stefano,9
Oleggio,23
Olgiate Olona,11
Origgio,6
Porto Ceresio,6
Ranco,3
Rescaldina,6
Rovello Porro,13
Saltrio,2
Sangiano,2
Saronno,46
Sesto Calende,3
Solaro,21
Solbiate Arno,6
Solbiate Olona,14
Solbiate con Cagno,5
Somma Lombardo,22
Stresa,6
Taino,2
Ternate,6
Tradate,43
Travedona-Monate,4
Turate,6
Uboldo,8
Valganna,2
Vanzaghello,8
Varallo Pombia,10
Varano Borghi,2
Varese,79
Vedano Olona,5
Venegono Inferiore,12
Venegono Superiore,6
Verbania,33
Vergiate,11
Viggiù,16
Vizzola Ticino,22
