latitude,longitude,serial number,COMUNE
45.990807,8.747367,IT*ENX*E19XP22T5HK4AH00131*1,Luino
45.72459,8.602625,IT*BEC*EE002170*2,Castelletto sopra Ticino
45.69374,8.820043,IT*ENX*E19XP22T3KK4AH00131*1,Oggiona con Santo Stefano
45.816889,8.805581,IT*EWI*EEW024502*1,Varese
45.599988,8.645496,IT*BEC*EH000373*2,Oleggio
46.03304,8.773506,IT*BEC*EE003748*1,Agra
45.720095,8.602382,IT*ENX*E19XP22T5HK1AL00007*2,Castelletto sopra Ticino
45.687303,8.7341,IT*ENX*E19XP22T3KK1AT00059*1,Arsago Seprio
45.687303,8.7341,IT*ENX*E19XP22T3KK1AT00059*2,Arsago Seprio
45.715584,8.860736,IT*BEC*EH001137*1,Castelseprio
45.737023,8.893425,IT*ENX*E24BZ4967A*1,Venegono Inferiore
45.670786,8.739467,IT*ENX*E19XP22T3KK4AD00127*1,Casorate Sempione
45.615673,9.067791,IT*BEC*EH000751*2,Solaro
45.815663,8.832642,IT*ENX*E21XK11M1J03BF00237*1,Varese
45.73679,8.897091,IT*ENX*E23BZ4021A*1,Venegono Inferiore
45.907621,8.908572,IT*ENX*E20XP22T3KK1AL00409*2,Porto Ceresio
45.651788,8.7855,IT*ENX*E19XP22T3KK4AD00019*1,Gallarate
45.579844,8.80149,IT*ENX*E18XP22T3BB4U000209*1,Magnago
45.784943,8.926329,IT*ENX*E23BZ9629A*1,Binago
45.6275735,8.7008652,IT*EMO*E2054*1,Vizzola Ticino
45.737023,8.893425,IT*ENX*E24BZ4967A*2,Venegono Inferiore
45.548408,8.981501,IT*ENX*E22BZ3960A*3,Nerviano
45.606492,8.852083,IT*BEC*EE000030*2,Busto Arsizio
45.587834,8.638941,IT*ENX*E19XP22T3KK1AL00026*1,Oleggio
45.556612,8.772579,IT*ENX*E19XP22T3KK4AD00173*1,Castano Primo
45.703837,8.876619,IT*ENX*E18XP22T5HK4AH00194*1,Lonate Ceppino
45.587834,8.638941,IT*ENX*E19XP22T3KK1AL00026*2,Oleggio
45.549271,8.722937,IT*ENX*E24BZ4276A*2,Nosate
45.843649,8.712511,IT*BEC*EE002523*1,Gavirate
45.703176,8.919212,IT*BEC*EE002329*1,Tradate
45.5773,9.0249,IT*BEC*EE005820*1,Lainate
45.815351,8.835168,IT*ENX*E19XP22T3KK4AH00444*2,Varese
45.61109,9.035546,IT*ENX*ESN2403122405*1,Saronno
45.864691,8.933245,IT*BEC*EE007158*1,Clivio
45.790926,8.888905,IT*ENX*E18XP22T3BB4U000084*1,Malnate
45.790926,8.888905,IT*ENX*E18XP22T3BB4U000084*2,Malnate
45.565513,9.030314,IT*BEC*EE005538*2,Lainate
45.815134,8.761728,IT*ENX*E19XP22T3KK4AH00446*1,Varese
45.564677,9.046105,IT*ENX*E19XM32T7GB3W000072*2,Lainate
45.651308,9.001538,IT*ENX*E18XP22T5AB5U000366*2,Turate
45.996949,8.73616,IT*ENX*E20XP22T3KK4AL01181*2,Luino
45.7099078,8.9013992,IT*IPE*E170002454*2,Tradate
45.62836,9.026623,IT*BEC*EE000533*1,Saronno
